Acct,Description,Category
500010,Salary Base Pay - Civilian,Personnel Services
500015,HOPE Union Business Leave,Personnel Services
500020,Salary Base Pay - Classified,Personnel Services
500030,Salary Part Time - Civilian,Personnel Services
500040,Salary Assignment Pay - Classified,Personnel Services
500045,Patrol Incentive Pay,Personnel Services
500050,Sal-Edu/Incen-Classfd,Personnel Services
500060,Overtime - Civilian,Personnel Services
500070,Overtime - Classified,Personnel Services
500080,OT-Cls Med Mgmt,Personnel Services
500090,Premium Pay - Civilian,Personnel Services
500100,Premium Pay - Classified,Personnel Services
500110,Bilingual Pay - Civilian,Personnel Services
500120,Bilingual Pay - Classified,Personnel Services
500130,Equipment Allowance-Classified,Personnel Services
500140,Equipment Allowance - Civilian,Personnel Services
500150,Shift Differential Pay-Classified,Personnel Services
500160,Training Incent.-Classified,Personnel Services
500170,Weekend Prem Pay-Classified,Personnel Services
500180,Temporary Employees,Personnel Services
500190,Temporary Higher Class Pay,Personnel Services
500200,Residency Incentive Payment,Personnel Services
500210,Pay for Performance-Municipal,Personnel Services
500230,Temp Adj to CMC Deductions Returns,Personnel Services
500240,HOPE Community Service Usage,Personnel Services
500250,HOPE Union Business Usage,Personnel Services
501010,Clothing Allowance - Civilian,Personnel Services
501020,Clothing Allowance - Classified,Personnel Services
501030,Earned Leave - Civilian,Personnel Services
501040,Earned Leave - Classified,Personnel Services
501050,Employee Awards,Personnel Services
501060,Moving Expenses,Personnel Services
501070,Pension - Civilian,Personnel Services
501080,Pension - Fire,Personnel Services
501090,Pension - Police,Personnel Services
501100,Phase Down Classified,Personnel Services
501110,Strategic Staffing-Classified,Personnel Services
501120,Termination Pay - Civilian,Personnel Services
501130,Termination Pay - Classified,Personnel Services
501140,Third Party Disability B-Classified,Personnel Services
501150,Trainees for Classified Service - Cadets,Personnel Services
501160,Vehicle Allowance - Civilian,Personnel Services
501170,Vehicle Allowance - Classified,Personnel Services
502010,FICA - Civilian,Personnel Services
502020,FICA - Classified,Personnel Services
503010,Health Ins-Act Civilian,Personnel Services
503015,Basic Life Insurance - Active Civilian,Personnel Services
503020,Health Ins.Act-Classified,Personnel Services
503025,Basic Life Insurance - Active Classified,Personnel Services
503040,Health/Life Ins.Ret-Classified,Personnel Services
503050,Health/Life Insurance - Retiree Civilian,Personnel Services
503060,Long Term Disability-Civilian,Personnel Services
503061,Long Term Disability-Classified,Personnel Services
503070,Municipal Pension-Other Classified,Personnel Services
503080,Workers Compensation-Classified-Admin,Personnel Services
503090,Workers Compensation-Civilian-Admin,Personnel Services
503100,Workers Compensation-Civilian-Claim,Personnel Services
503110,Workers Compensation-Classified-Claim,Personnel Services
504010,Pension - GASB 27 Pension Accrual,Personnel Services
504020,Compensation Contingency,Personnel Services
504025,Personnel Consolidation,Personnel Services
504030,Unemployment Claims - Administration,Personnel Services
504031,Unemployment Claims,Personnel Services
504040,Res For Police Enhanc.-Classified,Personnel Services
504050,Health Benefits Contingency,Personnel Services
504060,Health Benefits-Fire,Personnel Services
511010,Chemical Gases & Special Fluids,Supplies
511015,Cleaning & Sanitary Supplies,Supplies
511020,Construction Materials,Supplies
511025,Electrical Hardware & Parts,Supplies
511030,Mechanical Hardware & Parts,Supplies
511035,Meters Hydrants & Plumbing Supplies,Supplies
511040,Audiovisual Supplies,Supplies
511045,Computer Supplies,Supplies
511050,Paper & Printing Supplies,Supplies
511055,Publications & Printed Materials,Supplies
511060,Postage,Supplies
511070,Miscellaneous Office Supplies ,Supplies
511075,Library Circulation Supplies,Supplies
511080,General Laboratory Supplies,Supplies
511085,Drugs & Medical Chemicals,Supplies
511090,Medical & Surgical Supplies,Supplies
511095,Small Technical & Scientific Equipment,Supplies
511100,Veterinary & Animal Supplies,Supplies
511105,Trained Police Animals,Supplies
511110,Fuel ,Supplies
511115,Vehicle Repair & Maintenance Supplies,Supplies
511120,Clothing,Supplies
511125,Food Supplies,Supplies
511130,Weapons Munitions & Supplies,Supplies
511135,Recreational Supplies,Supplies
511140,Landscaping & Gardening Supplies,Supplies
511145,Small Tools & Minor Equipment,Supplies
511150,Miscellaneous Parts & Supplies,Supplies
511155,Inventory Sales,Supplies
511160,Protective Gear,Supplies
511164,Breathing Apparatus Repair Supplies,Supplies
511165,Fire Fighting Equipment,Supplies
520100,Temporary Personnel Services,Other Services and Charges
520101,Janitorial Services ,Other Services and Charges
520102,Security Services,Other Services and Charges
520103,Subrecipient Contract Services,Other Services and Charges
