Fund,Fund Name,Dept,Department,Cost Center,CC Name,Account,Description, FY2011 Budget 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500010,Salary Base Pay - Civilian," 1,144,554 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500020,Salary Base Pay - Classified," 1,273,549 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500040,Salary Assignment Pay - Classified, 196 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500050,Sal-Edu/Incen-Classfd," 71,264 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500060,Overtime - Civilian," 9,000 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500070,Overtime - Classified," 78,500 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500110,Bilingual Pay - Civilian," 2,488 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500120,Bilingual Pay - Classified," 7,296 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500130,Equipment Allowance-Classified," 37,386 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500150,Shift Differential Pay-Classified," 7,675 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500160,Training Incent.-Classified," 140,666 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500170,Weekend Prem Pay-Classified," 3,953 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500190,Temporary Higher Class Pay, 40 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501020,Clothing Allowance - Classified," 13,086 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501070,Pension - Civilian," 165,962 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501090,Pension - Police," 311,550 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501120,Termination Pay - Civilian," 35,931 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501140,Third Party Disability B-Classified," 9,246 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,502010,FICA - Civilian," 82,435 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,502020,FICA - Classified," 13,042 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503010,Health Ins-Act Civilian," 140,370 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503015,Basic Life Insurance - Active Civilian, 678 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503020,Health Ins.Act-Classified," 140,892 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503025,Basic Life Insurance - Active Classified, 751 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503060,Long Term Disability-Civilian," 1,700 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503080,Workers Compensation-Classified-Admin," 3,780 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503090,Workers Compensation-Civilian-Admin," 4,200 "
